Station,Date(YYYYMMDD),Hour,Wind direction,Hourly Average Wind speed,Windspeed Average Last 10 Minutes,Maximum Wind Gust,Temperature,Minimum Temperature Last 6 Hours,Dew Temperature,Sunshine duration,Global Radiation,Precipitation Duration,Hourly Precipitation Amount,Air Pressure,Horizontal visibility,Cloud cover,Relative atmospheric humidity,Weather code,Weather code Indicator,Fog,Rainfall,Snow,Thunder,Ice Formation
260,20180101,1,220,8.0,10.0,14.0,8.5,0.0,4.0,0,0,0,0,9951,72,8,73,0,5,0,0,0,0,0
260,20180101,2,240,9.0,7.0,19.0,7.1,0.0,5.6,0,0,5,15,9955,50,8,90,82,7,0,1,0,0,0
260,20180101,3,260,8.0,7.0,17.0,7.8,0.0,4.4,0,0,10,12,9969,75,8,79,61,7,0,1,0,0,0
260,20180101,4,240,8.0,8.0,16.0,8.0,0.0,3.8,0,0,0,-1,9982,75,8,74,23,7,0,1,0,0,0
260,20180101,5,250,7.0,6.0,15.0,7.5,0.0,3.6,0,0,0,0,9989,75,7,76,0,5,0,0,0,0,0
260,20180101,6,240,6.0,5.0,11.0,6.9,6.1,2.9,0,0,0,0,9996,75,2,75,1,7,0,0,0,0,0
260,20180101,7,230,5.0,6.0,9.0,6.5,0.0,3.5,0,0,0,0,10001,70,8,81,0,5,0,0,0,0,0
260,20180101,8,210,6.0,6.0,10.0,6.2,0.0,3.5,0,0,0,0,10002,70,2,82,0,5,0,0,0,0,0
260,20180101,9,210,7.0,8.0,12.0,6.6,0.0,3.8,0,5,0,0,10003,70,8,82,0,5,0,0,0,0,0
260,20180101,10,210,8.0,7.0,13.0,7.1,0.0,4.0,7,38,0,0,10001,75,7,80,0,5,0,0,0,0,0
260,20180101,11,220,8.0,8.0,14.0,7.4,0.0,3.8,7,63,0,0,9996,75,7,77,0,5,0,0,0,0,0
260,20180101,12,210,7.0,6.0,13.0,7.0,5.4,3.7,7,58,0,0,9987,75,8,79,0,5,0,0,0,0,0
260,20180101,13,200,5.0,5.0,11.0,7.5,0.0,4.0,0,35,0,0,9978,75,8,78,0,5,0,0,0,0,0
260,20180101,14,190,4.0,4.0,8.0,7.5,0.0,4.0,0,18,0,0,9969,73,8,78,0,5,0,0,0,0,0
260,20180101,15,180,3.0,3.0,6.0,7.6,0.0,4.2,0,7,0,0,9965,72,8,79,0,5,0,0,0,0,0
260,20180101,16,160,3.0,2.0,6.0,6.4,0.0,5.3,0,0,6,2,9963,59,8,93,58,7,0,1,0,0,0
260,20180101,17,160,2.0,1.0,4.0,6.1,0.0,5.5,0,0,9,4,9965,59,8,96,52,7,0,1,0,0,0
260,20180101,18,220,1.0,2.0,3.0,6.0,5.8,5.3,0,0,10,4,9968,61,8,95,57,7,0,1,0,0,0
260,20180101,19,250,2.0,1.0,4.0,5.6,0.0,4.9,0,0,9,3,9974,65,8,95,51,7,0,1,0,0,0
260,20180101,20,270,1.0,2.0,3.0,5.4,0.0,4.6,0,0,3,1,9985,65,8,94,51,7,0,1,0,0,0
260,20180101,21,250,2.0,2.0,5.0,5.8,0.0,4.7,0,0,10,2,9993,63,8,92,57,7,0,1,0,0,0
260,20180101,22,250,3.0,3.0,6.0,6.1,0.0,4.5,0,0,2,1,10004,70,8,89,23,7,0,1,0,0,0
260,20180101,23,250,3.0,4.0,6.0,6.1,0.0,4.6,0,0,0,-1,10014,65,8,90,51,7,0,1,0,0,0
260,20180101,24,240,3.0,3.0,8.0,5.3,4.6,4.3,0,0,5,3,10021,65,5,93,23,7,0,1,0,0,0
260,20180102,1,230,2.0,3.0,5.0,5.2,0.0,4.4,0,0,0,0,10028,65,4,94,0,5,0,0,0,0,0
260,20180102,2,230,2.0,2.0,4.0,4.8,0.0,4.2,0,0,0,0,10037,65,8,95,0,5,0,0,0,0,0
260,20180102,3,270,2.0,2.0,4.0,5.4,0.0,4.8,0,0,0,0,10047,65,7,96,0,5,0,0,0,0,0
260,20180102,4,260,3.0,3.0,6.0,5.8,0.0,4.7,0,0,0,-1,10053,65,6,93,22,7,0,1,0,0,0
260,20180102,5,270,4.0,4.0,8.0,6.1,0.0,4.9,0,0,5,3,10065,65,8,92,81,7,0,1,0,0,0
260,20180102,6,280,4.0,5.0,10.0,6.2,3.2,4.9,0,0,7,3,10076,58,8,91,81,7,0,1,0,0,0
260,20180102,7,270,4.0,3.0,7.0,5.6,0.0,3.0,0,0,0,-1,10084,70,3,83,23,7,0,1,0,0,0
260,20180102,8,270,4.0,3.0,9.0,6.2,0.0,3.0,0,0,0,0,10096,75,8,80,0,5,0,0,0,0,0
260,20180102,9,250,4.0,4.0,9.0,6.1,0.0,3.6,2,8,0,-1,10100,70,6,83,23,7,0,1,0,0,0
260,20180102,10,240,3.0,3.0,8.0,6.8,0.0,4.6,5,31,0,-1,10106,70,2,86,23,7,0,1,0,0,0
260,20180102,11,250,4.0,5.0,9.0,6.9,0.0,3.8,7,53,0,0,10111,75,8,80,0,5,0,0,0,0,0
260,20180102,12,230,4.0,4.0,8.0,6.9,4.6,3.9,0,34,0,0,10100,70,8,81,2,7,0,0,0,0,0
